subscription_id,customer_id,plan,monthly_fee,usage_limit_gb,status,start_date,end_date
S001,C001,BASIC,499,50,ACTIVE,2024-01-01,
S002,C002,STANDARD,999,200,ACTIVE,2024-02-01,
S003,C003,PREMIUM,1999,500,SUSPENDED,2024-01-15,
S004,C004,BASIC,499,50,CANCELLED,2024-01-01,2024-03-15
S005,C005,STANDARD,999,200,ACTIVE,2023-12-10,
S006,C006,BASIC,499,50,ACTIVE,2024-01-20,
S007,C007,PREMIUM,1999,500,ACTIVE,2024-02-05,
S008,C008,STANDARD,999,200,SUSPENDED,2024-01-12,
S009,C009,BASIC,499,50,ACTIVE,2024-01-01,
S010,C010,PREMIUM,1999,500,CANCELLED,2023-11-01,2024-02-28
S011,C011,STANDARD,999,200,ACTIVE,2024-01-01,
S012,C012,BASIC,499,50,ACTIVE,2024-01-15,
S013,C013,PREMIUM,1999,500,ACTIVE,2024-02-01,
S014,C014,STANDARD,999,200,ACTIVE,2024-02-20,
S015,C015,BASIC,499,50,SUSPENDED,2024-01-10,
S016,C016,PREMIUM,1999,500,ACTIVE,2024-01-05,
S017,C017,STANDARD,999,200,ACTIVE,2023-12-01,
S018,C018,BASIC,499,50,ACTIVE,2024-02-01,
S019,C019,PREMIUM,1999,500,ACTIVE,2024-01-01,
S020,C020,STANDARD,999,200,CANCELLED,2024-01-01,2024-03-01
S021,C021,BASIC,499,50,ACTIVE,2024-02-10,
S022,C022,STANDARD,999,200,ACTIVE,2024-01-01,
S023,C023,PREMIUM,1999,500,SUSPENDED,2024-01-01,
S024,C024,BASIC,499,50,ACTIVE,2024-01-15,
S025,C025,STANDARD,999,200,ACTIVE,2024-02-01,
S026,C026,PREMIUM,1999,500,ACTIVE,2024-01-01,
S027,C027,BASIC,499,50,ACTIVE,2024-01-01,
S028,C028,STANDARD,999,200,ACTIVE,2024-01-20,
S029,C029,PREMIUM,1999,500,ACTIVE,2024-02-01,
S030,C030,BASIC,499,50,SUSPENDED,2024-01-01,
